index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0170.smt2,,,,23,6,3,53,53,3,54,16,5,240,6,2196,35,256,7917,133,1071,,103,359,7,,,468,4008,1321,37,77,22,3,59,4,1,770.92,509.89,sat,89.71,3.29,0.40,1.57,0.28,1.19,77.66,60.55,,0.66,0.00,0.00,0.20,89.15,20.97,67.95,1.01,4.37,38.15,2.00,0.00,2.00,1.24
chc-lia-0171.smt2,,,,22,3,1,36,36,,,,,56,,255,1,68,1131,13,271,,1,13,,,,56,601,243,,,,,,,,132.12,85.73,sat,3.44,0.40,0.05,0.19,0.04,0.13,2.33,1.61,,0.02,0.00,0.00,0.03,3.36,0.60,2.64,0.09,0.22,1.35,0.02,0.00,0.02,
chc-lia-0172.smt2,,,,25,,,32,32,,,,,103,,1162,,162,4647,11,647,,,,,,,93,2364,617,,,,,,,,366.40,264.17,sat,22.76,1.62,0.23,0.84,0.13,0.52,18.46,13.78,,0.26,0.00,0.00,0.09,22.50,6.75,15.63,0.33,1.11,9.30,0.02,,0.02,
chc-lia-0173.smt2,,34,359,,38,4,71,70,114,62,23,20,838,39,6860,164,2,23009,292,1797,,503,550,149,,,1468,11595,3057,193,390,165,114,107,69,15,428.11,404.16,timeout,598.26,8.70,1.11,4.80,0.78,2.54,554.40,356.85,67.97,2.72,0.00,0.00,0.55,590.78,199.77,390.68,3.61,13.15,152.98,38.33,0.00,38.33,31.66
chc-lia-0175.smt2,,,2,,8,3,52,51,15,45,17,,1018,41,7446,96,,18839,267,2106,,297,863,108,,,1464,6934,3118,181,198,122,15,137,94,4,458.35,443.44,timeout,597.54,13.40,1.52,7.07,0.93,4.62,531.76,436.29,2.18,4.21,0.00,0.00,0.55,578.72,150.77,427.73,3.79,18.43,260.16,16.18,0.00,16.18,12.01
chc-lia-0177.smt2,,866,123,,325,,22,21,,,,,662,,885,,403,2764,603,1130,,,,,,1019,572,1307,1196,69,,56,,,,,565.69,514.13,timeout,598.63,3.91,1.08,1.93,0.46,1.20,312.44,182.87,41.06,1.20,0.00,0.00,0.53,508.83,43.56,465.18,3.39,95.28,187.82,90.79,,90.79,5.13
chc-lia-0178.smt2,,,,14,1,,27,27,,9,8,,76,,462,,89,1610,7,407,,,,,,,72,853,384,11,,8,,1,,,203.76,139.55,sat,7.79,1.12,0.12,0.55,0.08,0.40,5.55,3.92,0.01,0.04,0.00,0.00,0.05,7.66,1.11,6.45,0.18,0.37,3.46,0.02,,0.02,0.03
chc-lia-0179.smt2,,,,25,1,1,28,28,,,,,104,12,535,,63,1753,3,349,,,,,,,50,841,321,,,,,,,,215.80,139.59,sat,6.83,0.78,0.09,0.40,0.06,0.26,5.03,3.51,,0.05,0.00,0.00,0.04,6.72,1.46,5.17,0.14,0.33,2.89,0.05,0.00,0.05,
chc-lia-0180.smt2,12,,,,3,1,12,12,,12,,2,61,7,20,,1,146,1,89,,2,10,,,,136,80,137,12,,1,,12,8,,104.68,50.07,unsat,1.97,0.10,0.03,0.04,0.01,0.03,1.32,0.93,,0.00,0.00,0.00,0.10,1.85,0.13,1.68,0.23,0.04,0.54,0.06,0.00,0.06,0.21
chc-lia-0181.smt2,,2,,50,8,2,57,57,,163,143,,168,287,2155,5,197,10431,31,1158,,6,49,3,,,323,6341,1205,160,2,146,1,22,,,813.16,535.32,sat,73.66,5.78,0.57,2.83,0.38,2.20,60.26,41.23,,0.46,0.00,0.00,0.20,73.21,17.53,55.43,0.82,2.97,28.75,2.77,0.00,2.77,1.23
chc-lia-0188.smt2,,58,188,,12,1,53,52,,95,43,82,1198,27,5970,36,30,16930,93,2396,,126,109,,,474,1002,5047,3435,71,104,50,,112,21,3,467.98,440.13,timeout,598.10,11.36,1.31,6.04,0.85,3.74,520.52,395.79,52.39,4.84,0.00,0.00,0.57,573.56,162.58,410.76,4.15,23.02,251.34,9.40,0.00,9.40,6.31
chc-lia-0189.smt2,,,,22,1,1,35,35,,69,6,46,117,39,869,,164,4195,3,562,,,,,,,136,1955,562,20,,6,,17,,,405.16,255.70,sat,18.70,2.22,0.19,1.20,0.11,0.76,13.98,10.43,,0.18,0.00,0.00,0.07,18.45,5.31,13.01,0.29,1.00,6.60,0.28,0.00,0.28,0.17
chc-lia-0191.smt2,,,,6,2,1,9,9,,,,,54,1,27,2,49,245,,103,,1,2,,,,68,115,92,,,,,,,,230.44,143.21,sat,4.80,0.46,0.18,0.30,0.04,0.08,3.76,2.05,,0.01,0.00,0.00,0.07,4.64,0.59,4.01,0.16,0.07,2.64,0.06,0.00,0.06,
chc-lia-0192.smt2,,,10,19,,,45,45,,,,,87,,870,,116,4052,3,737,,,,,,,66,1996,699,,,,,,,,378.16,260.28,sat,22.10,1.97,0.22,1.12,0.15,0.56,17.67,12.95,0.16,0.15,0.00,0.00,0.09,21.91,5.00,16.75,0.35,1.05,9.65,0.00,,0.00,
chc-lia-0193.smt2,,,89,27,1,,36,36,,2,,2,164,,1587,,167,6179,21,849,,,,,,,178,2979,832,12,,10,,1,,,602.20,419.51,sat,40.86,3.46,0.31,1.90,0.25,1.09,33.26,21.62,3.56,0.38,0.00,0.00,0.11,40.52,10.93,29.45,0.51,2.03,17.70,0.01,,0.01,0.04
chc-lia-0194.smt2,,,,1,,,2,2,,,,,4,,,,3,6,,6,,,,,,,3,3,3,,,,,,,,35.40,15.23,sat,0.06,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0195.smt2,,,2,28,4,1,47,47,,9,,6,216,5,1366,7,155,4660,48,880,,9,96,,,8,220,1989,874,,4,,,6,,,546.68,342.49,sat,46.65,2.38,0.27,1.34,0.19,0.68,38.79,31.63,0.06,0.37,0.00,0.00,0.12,46.28,9.56,36.52,0.53,3.00,23.54,0.36,0.00,0.36,0.04
chc-lia-0196.smt2,,,,1,,,3,3,,,,,5,,2,,4,10,,10,,,,,,,4,5,6,,,,,,,,39.28,16.51,sat,0.06,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.03,0.00,0.02,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0200.smt2,,,,14,6,1,17,17,,31,23,18,136,4,546,,257,4527,4,451,,4,34,3,,,413,2730,455,32,1,23,,4,92,,810.44,520.18,sat,58.50,2.02,0.41,1.07,0.14,0.66,52.40,39.81,,0.46,0.00,0.00,0.32,57.86,23.92,33.87,0.91,1.11,21.65,1.47,0.00,1.47,0.57
chc-lia-0201.smt2,,1,364,41,1,1,59,59,,109,29,5,257,1,2993,,267,14223,32,1749,,,,,,,354,7349,1918,62,3,32,,56,9,2,1347.84,899.84,sat,199.37,9.21,0.89,5.29,0.50,2.86,177.39,100.95,32.29,1.07,0.00,0.00,0.32,198.59,55.57,142.75,1.72,6.54,89.24,0.43,0.00,0.43,2.57
