index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-lin-0204.smt2,,,,1,,,5,5,,9,,5,,12,36,,25,,,,,,,11,21,19,,,,,,,,127.16,72.73,sat,1.25,0.12,0.01,0.05,0.00,0.06,0.74,0.50,,0.00,0.01,0.01,0.02,0.98,0.13,0.83,0.08,0.00,0.39,0.00,,0.00,
chc-lia-lin-0205.smt2,,,,2,,,6,6,,13,,7,,14,57,,34,,,,,,,16,36,27,,,,,,,,141.92,79.62,sat,1.83,0.24,0.02,0.11,0.01,0.11,1.14,0.68,,0.00,0.01,0.01,0.03,1.55,0.28,1.26,0.12,0.00,0.60,0.00,,0.00,
chc-lia-lin-0206.smt2,,,,2,1,1,6,6,,16,,13,,21,92,,43,,,,,,,23,60,36,,,,,,2,,155.76,84.96,sat,2.28,0.42,0.04,0.21,0.02,0.16,1.32,0.84,,0.00,0.01,0.01,0.04,1.98,0.28,1.68,0.17,0.01,0.69,0.02,0.00,0.02,
chc-lia-lin-0207.smt2,,,,2,,,6,6,,17,,6,,18,77,,38,,,,,,,16,48,31,,,,,,,,150.32,82.54,sat,2.50,0.44,0.04,0.22,0.02,0.17,1.54,0.92,,0.00,0.01,0.01,0.04,2.19,0.40,1.77,0.15,0.01,0.81,0.00,,0.00,
chc-lia-lin-0208.smt2,,,,2,,1,6,6,,16,,4,,18,82,,40,,,,,,,19,52,33,,,,,,13,,156.60,85.91,sat,2.78,0.47,0.04,0.23,0.02,0.20,1.77,1.24,,0.00,0.01,0.01,0.04,2.49,0.40,2.07,0.17,0.01,0.86,0.12,0.00,0.12,
chc-lia-lin-0209.smt2,,,,2,1,,5,5,,14,,6,,18,76,,33,,,,,,,24,58,27,,,,,,,,150.96,84.30,sat,2.14,0.36,0.03,0.18,0.01,0.14,1.28,0.72,,0.00,0.01,0.01,0.03,1.83,0.22,1.59,0.13,0.01,0.74,0.00,,0.00,
chc-lia-lin-0210.smt2,,,,1,,,5,5,,15,,2,,17,60,,31,,,,,,,19,43,25,,,,,,,,149.16,83.57,sat,1.96,0.31,0.03,0.15,0.01,0.13,1.13,0.69,,0.00,0.01,0.01,0.03,1.62,0.27,1.33,0.13,0.01,0.56,0.00,,0.00,
chc-lia-lin-0211.smt2,,,,1,,,5,5,,14,,4,,23,77,,40,,,,,,,28,54,34,,,,,,,,155.84,87.40,sat,2.63,0.52,0.05,0.26,0.02,0.20,1.53,1.00,,0.00,0.01,0.01,0.04,2.29,0.36,1.91,0.18,0.01,0.81,0.00,,0.00,
chc-lia-lin-0212.smt2,,,,2,1,1,6,6,,22,,7,,28,134,,53,,,,,,,35,95,46,,,,,,2,,167.16,91.24,sat,3.74,0.89,0.08,0.47,0.03,0.33,2.11,1.46,,0.00,0.01,0.01,0.06,3.36,0.47,2.87,0.26,0.02,1.13,0.03,0.00,0.03,
chc-lia-lin-0213.smt2,,,,2,1,,6,6,,23,,10,,33,141,,59,,,,,,,44,91,52,,,,,,,,223.56,120.24,sat,5.05,1.44,0.13,0.82,0.05,0.48,2.78,1.81,,0.00,0.01,0.01,0.07,4.62,0.64,3.96,0.30,0.02,1.53,0.01,,0.01,
chc-lia-lin-0214.smt2,,,,2,1,,6,6,,23,,10,,33,141,,59,,,,,,,44,91,52,,,,,,,,223.56,120.24,sat,5.20,1.49,0.13,0.86,0.06,0.49,2.85,1.87,,0.00,0.01,0.01,0.07,4.76,0.66,4.07,0.30,0.02,1.56,0.00,,0.00,
chc-lia-lin-0215.smt2,,,,2,,,5,5,,20,,8,,25,96,,43,,,,,,,30,69,37,,,,,,,,166.44,92.31,sat,3.40,0.75,0.07,0.38,0.03,0.30,1.87,1.11,,0.00,0.01,0.01,0.05,2.91,0.37,2.52,0.21,0.01,1.09,0.00,,0.00,
chc-lia-lin-0216.smt2,,,,2,1,1,6,6,,25,,5,,30,110,,53,,,,,,,31,76,46,,,,,,24,2,187.20,99.59,sat,4.59,0.81,0.07,0.41,0.03,0.32,2.73,1.77,,0.00,0.01,0.01,0.08,3.94,0.53,3.39,0.29,0.02,1.43,0.22,0.00,0.22,
chc-lia-lin-0217.smt2,,,,2,,,5,5,,19,,5,,24,103,,40,,,,,,,30,83,34,,,,,,,,167.16,93.35,sat,3.08,0.65,0.05,0.38,0.02,0.21,1.78,1.07,,0.00,0.01,0.01,0.06,2.71,0.40,2.29,0.21,0.01,0.97,0.00,,0.00,
chc-lia-lin-0218.smt2,,,,1,,,5,5,,17,,7,,26,84,,45,,,,,,,31,61,39,,,,,,,,164.96,92.46,sat,3.19,0.54,0.05,0.25,0.02,0.24,1.89,1.22,,0.00,0.01,0.01,0.05,2.73,0.32,2.39,0.23,0.01,1.15,0.00,,0.00,
chc-lia-lin-0219.smt2,,,,2,,,5,5,,18,,7,,26,69,,46,,,,,,,31,41,40,,,,,,,,172.16,96.40,sat,4.05,1.19,0.10,0.68,0.05,0.39,2.14,1.37,,0.00,0.01,0.01,0.07,3.66,0.37,3.28,0.26,0.02,1.24,0.00,,0.00,
chc-lia-lin-0220.smt2,,,,2,1,,5,5,,18,,3,,29,93,,45,,,,,,,28,73,39,,,,,,,,171.12,96.01,sat,3.90,0.87,0.09,0.46,0.03,0.33,2.29,1.43,,0.00,0.01,0.01,0.06,3.49,0.51,2.97,0.24,0.02,1.28,0.00,,0.00,
chc-lia-lin-0221.smt2,,,,2,,1,5,5,,19,,3,,26,116,,41,,,,,,,30,97,35,,,,,,2,,225.76,121.41,sat,3.57,0.66,0.06,0.35,0.02,0.24,2.10,1.24,,0.00,0.01,0.01,0.06,3.05,0.45,2.59,0.22,0.01,1.18,0.03,0.00,0.03,
chc-lia-lin-0222.smt2,,,,2,,1,5,5,,19,,3,,26,116,,41,,,,,,,30,97,35,,,,,,2,,225.76,121.41,sat,3.86,0.72,0.06,0.38,0.03,0.27,2.29,1.34,,0.00,0.01,0.01,0.07,3.32,0.51,2.79,0.24,0.01,1.27,0.03,0.00,0.03,
chc-lia-lin-0223.smt2,,,,2,1,1,6,6,,25,,6,,39,167,,68,,,,,,,49,116,61,,,,,,25,1,233.24,132.67,sat,6.93,2.09,0.17,1.29,0.07,0.61,3.73,2.57,,0.00,0.01,0.01,0.10,6.37,0.78,5.57,0.41,0.03,1.97,0.23,0.00,0.23,
chc-lia-lin-0224.smt2,,,,2,,,5,5,,22,,6,,34,123,,52,,,,,,,38,97,46,,,,,,,,215.84,120.92,sat,4.29,0.70,0.07,0.32,0.03,0.30,2.70,1.78,,0.00,0.02,0.01,0.07,3.80,0.46,3.32,0.30,0.02,1.66,0.00,,0.00,
