index,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0125.smt2,,2316,,45,5,51,50,2,392,,4,827,14,1816,364,,12638,13,1996,,475,57,,,8,915,4039,2410,,422,,15,22,52,258,8,,242.58,timeout,596.43,6.71,0.89,3.60,0.50,2.13,414.93,130.80,212.76,1.05,0.00,0.00,0.40,443.85,138.90,,304.70,2.41,11.45,137.83,28.62,0.00,28.62,23.42
chc-lia-0126.smt2,,,,4,1,35,35,,34,17,57,104,7,733,35,183,2818,71,562,,68,158,34,,,365,1459,752,73,45,51,,,30,,,393.24,256.10,sat,33.10,1.72,0.26,0.87,0.14,0.59,27.60,21.20,,0.17,0.00,0.00,0.14,32.80,5.30,,27.35,0.51,1.52,13.97,1.02,0.00,1.02,1.02
chc-lia-0127.smt2,,140,,13,3,110,109,2,23,,,551,236,4764,131,88,25826,224,1312,,265,382,10,,,1316,17599,2821,15,208,6,2,,148,40,2,,441.89,timeout,597.86,4.70,0.86,2.53,0.45,1.33,528.56,297.36,74.74,1.63,0.00,0.00,0.56,552.75,213.37,,338.75,3.04,7.57,154.98,20.58,0.00,20.58,12.21
chc-lia-0128.smt2,,,,1,,26,26,,1,,1,81,,380,,62,1414,7,370,,,,,,,53,552,348,,,,,,1,,,167.00,114.15,sat,6.34,0.61,0.07,0.30,0.06,0.20,4.75,3.47,,0.04,0.00,0.00,0.05,6.24,1.35,,4.80,0.15,0.31,2.51,0.01,,0.01,0.00
chc-lia-0132.smt2,117,56,,2,1,13,13,,90,40,29,190,17,176,,15,720,4,405,,,,,,,595,171,533,87,,55,,,25,,,323.72,173.75,unsat,19.27,3.22,1.08,1.86,0.17,0.96,13.47,8.48,0.86,0.04,0.00,0.00,0.42,19.06,2.21,,16.79,0.93,0.44,4.71,0.36,0.00,0.36,1.26
chc-lia-0133.smt2,392,,,20,4,33,33,28,37,,56,184,36,701,16,18,2864,8,661,,17,233,,,,619,1312,705,33,58,1,32,,9,,,314.92,168.65,unsat,22.57,0.75,0.25,0.38,0.07,0.17,16.74,9.74,0.04,0.37,0.00,0.00,0.57,22.34,6.09,,16.09,1.52,1.02,3.34,1.66,0.00,1.66,0.59
chc-lia-0134.smt2,543,,,9,3,31,31,1,326,18,555,652,146,760,22,33,5461,106,1400,,38,501,17,,,1634,2639,1581,74,133,29,11,,85,,,886.80,512.31,unsat,152.10,4.37,1.28,2.27,0.32,1.33,131.91,90.39,0.12,1.17,0.00,0.00,1.39,151.67,32.95,,118.56,4.10,5.09,53.78,7.33,0.00,7.33,4.07
chc-lia-0135.smt2,499,,,21,2,33,33,,151,8,167,446,96,627,16,27,3917,106,1108,,32,586,6,,,1313,2098,1251,64,59,13,11,,31,,,657.80,355.36,unsat,76.27,2.98,1.02,1.63,0.25,0.78,63.04,41.91,,0.54,0.00,0.00,1.10,75.89,16.22,,59.50,3.18,2.71,23.72,3.57,0.00,3.57,1.98
chc-lia-0136.smt2,516,2,,16,2,31,31,,201,,464,529,143,430,26,18,4234,112,1208,,54,537,3,,6,1545,2384,1509,44,100,3,10,,56,,,714.72,375.33,unsat,95.80,1.85,0.66,1.00,0.17,0.40,81.33,53.53,0.19,0.67,0.00,0.00,1.27,95.43,18.95,,76.32,3.83,3.70,31.59,5.18,0.00,5.18,2.11
chc-lia-0137.smt2,182,234,,7,7,18,18,1,122,2,116,379,37,311,25,31,2840,32,637,,28,20,,,,728,1163,647,19,32,3,20,,5,,,401.88,238.95,unsat,37.33,1.11,0.34,0.59,0.10,0.28,30.89,11.97,10.11,0.36,0.00,0.00,0.50,37.13,13.05,,24.00,1.45,1.57,8.31,1.92,0.00,1.92,1.05
chc-lia-0138.smt2,543,,,9,3,31,31,1,326,18,555,652,146,760,22,33,5461,106,1400,,38,501,17,,,1634,2639,1581,74,133,29,11,,85,,,886.80,512.31,unsat,154.54,4.43,1.30,2.31,0.33,1.34,134.08,91.74,0.11,1.17,0.00,0.00,1.39,154.11,33.35,,120.59,4.11,5.13,54.45,7.63,0.00,7.63,4.26
chc-lia-0139.smt2,740,140,,23,3,42,42,2,275,4,639,808,94,815,54,20,7656,52,1535,,80,432,2,,130,1980,4521,2015,58,207,25,20,,73,,,1123.32,622.75,unsat,214.89,3.88,1.16,2.13,0.33,0.96,188.89,102.45,22.52,1.76,0.00,0.00,1.80,214.25,53.41,,160.62,5.86,7.16,62.82,11.72,0.00,11.72,6.55
