index,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0296.smt2,,,3,,,7,7,,,,,164,,94,,83,593,,194,,,,,,,159,300,186,,,,,,,,,5264.84,1649.34,sat,18.16,0.23,0.01,0.06,0.01,0.14,14.85,0.57,9.94,0.00,0.39,0.29,0.16,15.57,1.80,,13.74,0.30,0.01,0.00,0.00,,0.00,
chc-lia-0297.smt2,,,,,,6,6,,,,,19,,20,,13,66,,38,,,,,,,19,26,31,,,,,,,,,972.52,399.37,sat,4.82,0.21,0.01,0.09,0.01,0.11,1.80,1.08,0.17,0.00,0.23,0.12,0.02,2.12,0.47,,1.62,0.05,0.00,0.35,0.00,,0.00,
chc-lia-0298.smt2,,,,,,4,4,,,,,61,,2,,47,194,,68,,,,,,,54,144,63,,,,,,,,,1887.84,775.08,sat,12.76,0.20,0.02,0.08,0.01,0.09,8.79,5.23,0.11,0.00,0.27,0.22,0.08,9.25,1.87,,7.37,0.19,0.00,0.00,0.00,,0.00,
chc-lia-0299.smt2,,1,,,,2,2,,,,,2,,,,,2,,3,,,,,,,3,,3,2,,1,,,,,,860.48,386.47,unsat,3.25,0.00,0.00,0.00,0.00,0.00,1.19,0.82,0.08,,0.32,0.25,0.02,1.23,0.36,,0.87,0.01,0.00,,,,,0.03
chc-lia-0302.smt2,,1,,,,2,2,,,,,2,,,,,2,,3,,,,,,,3,,3,2,,1,,,,,,634.08,299.14,unsat,2.19,0.00,0.00,0.00,0.00,0.00,0.77,0.68,0.04,,0.24,0.17,0.00,0.78,0.03,,0.74,0.00,0.00,,,,,0.00
chc-lia-0303.smt2,,,2,,,4,4,,,,,29,,11,,19,72,,42,,,,,,,30,32,37,,,,,,,,,1939.68,804.76,sat,11.73,0.43,0.02,0.10,0.01,0.30,7.76,0.20,5.28,0.00,0.40,0.29,0.08,8.39,1.59,,6.79,0.15,0.00,2.18,0.00,,0.00,
chc-lia-0304.smt2,,42,,,,3,3,,,,,38,,1,,,22,,44,,,,,,,43,,44,3,,2,,,,,,2131.20,854.03,unsat,31.10,0.89,0.04,0.15,0.01,0.69,21.35,2.00,14.69,0.00,0.40,0.35,0.70,23.77,2.51,,21.25,1.24,0.01,12.01,0.00,,0.00,0.20
chc-lia-0305.smt2,3,365,,11,1,11,11,,71,,76,474,8,174,,22,3442,7,551,,14,,,,,681,1998,666,11,14,3,,,28,1042,,8234.12,2613.23,unsat,133.66,3.41,0.27,1.23,0.15,1.84,121.68,22.72,77.75,0.01,0.38,0.25,0.82,129.23,22.24,,106.93,1.89,0.83,23.46,39.06,0.00,39.06,1.46
chc-lia-0306.smt2,,,6,,,10,10,,,,,60,,34,,45,412,6,109,,,,,,,83,223,98,,,,,,,,,1935.28,779.76,sat,29.33,0.68,0.06,0.19,0.03,0.42,24.33,0.14,15.06,0.00,0.50,0.41,0.08,25.31,6.41,,18.86,0.17,0.01,0.25,0.00,,0.00,
chc-lia-0310.smt2,,,,1,,3,3,,4,,5,111,2,2,,,53,,115,,,,,,,99,3,112,3,,1,,,,,,4563.96,1619.94,unsat,136.55,2.25,0.08,0.32,0.03,1.84,115.92,101.80,0.22,0.00,0.48,0.39,3.18,126.42,3.76,,122.64,7.60,0.04,71.72,0.02,,0.02,0.49
