index,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
chc-lia-0413.smt2,,,8,8,31,33,20,124,,67,29,44,58,,,40.76,17.96,sat,0.21,0.11,0.05,,0.00,0.00,0.00,0.01,0.18,0.04,,0.12,0.02,0.02,
chc-lia-0414.smt2,,,3,3,7,1,,8,,9,7,,8,3,1,32.72,8.76,unsat,0.04,0.01,0.01,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00
chc-lia-0415.smt2,,,2,2,4,,,2,,5,4,,4,2,1,77.36,34.56,unsat,0.11,0.04,0.00,,,0.01,0.01,0.00,0.05,0.00,,0.04,0.00,0.00,0.00
chc-lia-0416.smt2,,,,1,3,,3,2,,4,3,2,2,,,17.20,6.53,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,
chc-lia-0417.smt2,,,,166,167,166,,14109,,6976,166,6970,6891,,,,261.92,timeout,595.52,567.05,254.27,,1.52,0.00,0.00,5.26,590.72,120.17,,470.03,12.76,173.40,
chc-lia-0418.smt2,,,,168,169,168,,14447,,7144,168,7138,7058,,,,265.26,timeout,594.94,558.28,244.91,,1.56,0.00,0.00,5.43,582.56,119.67,,462.38,13.06,167.61,
chc-lia-0419.smt2,,,3,3,4,3,,7,,8,5,,7,3,1,32.24,8.14,unsat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00
chc-lia-0420.smt2,,,,1,2,,2,1,1,3,2,1,1,,,17.40,6.71,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,
chc-lia-0421.smt2,,,,1,2,,2,1,1,3,2,1,1,,,17.20,6.53,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,
chc-lia-0422.smt2,,,,1,2,,2,1,,3,2,1,1,,,17.60,6.60,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,
chc-lia-0423.smt2,,,81,80,170,6623,,7733,,6568,167,469,6488,1,1,,194.29,timeout,594.89,547.34,243.03,0.04,0.53,0.00,0.00,3.59,563.00,8.82,,553.92,8.96,207.29,0.01
chc-lia-0424.smt2,,,38,37,819,3981,404,17008,4,2886,1224,10110,2882,33,9,,665.60,timeout,597.76,494.18,183.93,48.46,1.70,0.00,0.00,0.96,503.89,166.24,,337.52,3.72,169.49,0.92
