index,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0280.smt2,,138,,3,1,7,7,,6,,6,113,7,29,1,6,376,,149,,3,,,,,149,167,149,7,,5,,,,154,,1766.88,619.60,unsat,50.80,38.75,1.79,31.76,0.00,0.17,0.14,0.72,40.76,5.65,,35.09,1.58,0.08,11.66,8.46,0.00,8.46,0.56
chc-lia-0281.smt2,2294,202,,66,1,55,55,,840,,342,2405,51,6237,93,227,24928,343,4654,,81,853,,,,8043,13055,7606,55,232,5,,,691,3179,32,9231.16,3416.72,unsat,395.13,300.51,171.30,32.62,0.94,0.18,0.13,19.11,386.92,49.46,,337.17,30.60,24.91,79.99,47.78,0.00,47.78,11.79
chc-lia-0282.smt2,,,6,,,8,8,,,,,67,,33,,50,508,,95,,,,,,,59,310,86,,,,,,,,,1319.96,519.27,sat,10.49,8.12,2.13,4.44,0.00,0.16,0.13,0.07,8.39,2.97,,5.38,0.17,0.00,0.69,0.00,,0.00,
chc-lia-0283.smt2,,,3,1,1,5,5,,1,,1,10,1,4,,9,41,,20,,,,,,,15,19,15,,,,,,,95,,1120.00,543.75,sat,21.39,15.25,0.09,12.32,0.00,0.21,0.19,0.02,15.34,2.94,,12.39,0.04,0.00,4.53,5.39,0.00,5.39,
chc-lia-0284.smt2,90,521,,73,2,13,13,,173,,134,748,91,1081,3,6,8045,3,1131,,32,3,,,,1182,3910,1406,13,62,2,1,,54,2872,2,16844.40,4813.81,unsat,198.97,187.15,12.76,137.52,0.11,0.29,0.16,1.64,195.84,28.21,,167.56,3.41,1.68,22.84,80.86,0.00,80.86,1.81
chc-lia-0285.smt2,,,4,,,6,6,,,,,44,,33,,26,213,,59,,,,,,,42,106,52,,,,,,,,,1476.60,559.20,sat,8.22,6.09,4.65,0.18,0.00,0.26,0.21,0.06,6.29,2.05,,4.22,0.13,0.00,0.28,0.00,,0.00,
chc-lia-0286.smt2,,,5,1,,6,6,,1,,2,141,,70,,84,559,,181,,,,,,,165,351,173,,,,,,,,,2122.72,816.26,sat,14.34,10.72,2.06,5.81,0.00,0.27,0.22,0.17,11.28,2.94,,8.32,0.39,0.02,0.30,0.00,,0.00,
chc-lia-0287.smt2,,927,,123,1,24,23,,651,,260,559,1,928,101,,5864,,1522,,211,66,,,,1608,2149,2764,,534,,,,148,9734,11,,943.96,timeout,599.53,162.65,104.30,48.49,0.13,0.32,0.22,1.48,176.03,63.25,,112.67,3.26,3.54,37.29,47.11,0.00,47.11,2.09
chc-lia-0288.smt2,102,744,,77,2,18,18,,144,,113,773,378,1784,10,33,10087,5,1357,,120,29,,,,1317,5686,1465,18,82,4,14,,13,7010,52,8833.88,2902.33,unsat,447.05,429.21,50.00,304.29,0.14,0.34,0.26,1.13,443.15,67.92,,375.13,2.16,4.40,62.01,202.22,0.00,202.22,6.05
chc-lia-0290.smt2,193,821,,80,2,17,17,,144,,121,884,457,1773,61,23,8949,11,1461,,210,75,,,,1420,4867,1768,17,147,5,12,,16,3861,47,7339.28,2488.30,unsat,433.26,414.59,50.13,288.68,0.12,0.31,0.23,1.05,428.98,54.74,,374.14,2.49,4.43,63.55,181.43,0.00,181.43,7.94
chc-lia-0291.smt2,,,12,17,1,14,14,,26,,15,758,6,708,,358,8714,11,1006,,2,,,,,866,4587,987,,,,,,,132,12,19093.80,5340.18,sat,67.98,50.20,9.65,22.11,0.04,0.37,0.21,0.56,52.80,14.17,,38.54,1.12,0.18,2.42,1.80,0.00,1.80,0.42
