index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_concretize,SPACER_conj,SPACER_conj_failed,SPACER_conj_success,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_non_local_gen,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_reach_queries,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_queries,SPACER_reuse_reach_facts,SPACER_subsume_failed,SPACER_subsume_pob,SPACER_subsume_success,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_global,time_spacer_solve_reach_gen_global_cvx_cls,time_spacer_solve_reach_is_reach
chc-lia-nonlin-0095.smt2,3,,,,,,,,,,3,3,,,4,,2,,,6,,6,,,3,,3,,,5,1,,,,28.48,7.28,unsat,0.03,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0096.smt2,,,,1,,,,1,7,1,11,11,,,13,,25,8,38,200,,85,,,55,113,1,,1,75,12,17,10,2,89.72,43.46,sat,0.50,0.29,0.13,,0.00,0.00,0.00,0.02,0.45,0.11,,0.31,0.04,0.03,0.05,0.02,0.00,0.00
chc-lia-nonlin-0097.smt2,,,,,,,,2,,,5,5,,,15,,10,,11,44,2,29,,,11,22,,,,23,3,,,,90.04,35.47,sat,0.16,0.05,0.01,,0.00,0.01,0.00,0.00,0.08,0.02,,0.05,0.01,0.00,0.00,0.00,,
chc-lia-nonlin-0098.smt2,1,,,,,,,,,,1,1,,,1,,,,,,,1,,,1,,1,,,,1,,,,26.92,6.54,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,
chc-lia-nonlin-0099.smt2,,,,,,,,1,,,3,3,,,6,,2,,7,16,1,13,,,7,11,,,,9,,,,,21.16,8.69,sat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0100.smt2,3,,,,,,,,,,3,3,,,5,,1,,,7,,7,,,4,,3,,,6,1,,,,32.68,8.35,unsat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0101.smt2,,,,,,,,1,,,2,2,,,5,,,,4,7,1,8,,,5,4,,,,5,,,,,19.40,7.59,sat,0.02,0.00,0.00,,0.00,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0102.smt2,,,,,,,,2,,1,4,4,,,11,,9,,7,33,,22,,,12,13,1,,,16,5,2,1,,41.36,18.22,sat,0.13,0.07,0.04,,0.00,0.00,0.00,0.01,0.11,0.01,0.00,0.08,0.01,0.00,0.03,0.00,0.00,
chc-lia-nonlin-0103.smt2,2,,,,,,,,,,2,2,,,2,,,,,2,,3,,,2,,2,,,2,1,,,,27.76,7.00,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0104.smt2,3,,,,,,,,,,3,3,,,5,,2,,1,11,,8,,,6,5,3,,,7,1,,,,29.20,7.78,unsat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0105.smt2,,,,,,,,4,,,5,5,,,12,,3,,10,50,,20,,,9,34,,,,15,2,,,,43.20,17.83,sat,0.09,0.03,0.01,,0.00,0.00,0.00,0.00,0.06,0.02,,0.03,0.01,0.00,0.00,0.00,,
chc-lia-nonlin-0106.smt2,,,,,,,,,,,1,1,,,2,,,,2,1,,3,,,2,1,,,,1,,,,,18.96,7.10,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0107.smt2,6,4,,23,7,15,,,1,,6,6,,,12,,18,,1,43,,31,,,23,9,6,,,25,1,,,,34.40,11.07,unsat,0.12,0.04,0.02,,0.00,0.00,0.00,0.00,0.10,0.01,,0.08,0.01,0.01,0.01,0.01,,0.01
chc-lia-nonlin-0108.smt2,,43,,38,26,3,4,10,11,3,12,12,22,54,27,,49,14,27,264,10,113,,,54,158,6,22,,93,5,25,37,15,63.08,36.48,sat,1.26,0.30,0.14,0.00,0.01,0.00,0.00,0.02,1.22,0.09,,1.08,0.04,0.05,0.03,0.72,0.00,0.04
chc-lia-nonlin-0109.smt2,11,26,,53,11,31,,,4,1,11,11,,32,36,,27,,1,220,,73,,,49,102,11,,,59,1,16,20,,53.92,23.66,unsat,0.36,0.17,0.09,,0.00,0.00,0.00,0.01,0.33,0.07,,0.22,0.02,0.03,0.03,0.03,0.00,0.02
chc-lia-nonlin-0110.smt2,21,183,,122,21,77,,,13,2,21,21,,147,91,,69,20,1,1008,3,236,,,120,564,35,1,,192,17,117,116,16,140.12,76.44,unsat,1.90,1.18,0.64,,0.04,0.00,0.00,0.03,1.84,0.61,,1.15,0.09,0.11,0.14,0.19,0.00,0.10
chc-lia-nonlin-0111.smt2,26,298,,149,28,86,,,18,2,26,26,,266,132,,79,24,1,1749,9,356,,,191,1040,26,6,4,342,1,244,170,,213.84,128.25,unsat,3.46,2.24,1.20,,0.08,0.00,0.00,0.06,3.38,1.28,,1.99,0.21,0.21,0.21,0.30,0.00,0.13
chc-lia-nonlin-0112.smt2,,159,,38,26,2,44,19,21,3,22,22,110,164,55,1,124,14,33,835,43,252,,7,101,431,37,110,1,226,35,68,124,57,126.04,74.55,sat,9.37,1.59,0.75,0.10,0.04,0.00,0.00,0.05,9.30,0.71,,8.49,0.14,0.13,0.06,7.13,0.00,0.14
chc-lia-nonlin-0113.smt2,16,129,,102,15,54,105,,10,1,16,16,,99,56,,48,,1,543,1,145,,,65,210,16,,,132,1,31,90,,78.76,39.45,unsat,0.99,0.60,0.11,0.27,0.01,0.00,0.00,0.02,0.95,0.29,,0.60,0.05,0.05,0.06,0.09,0.00,0.03
chc-lia-nonlin-0114.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,4.49,sat,0.00,,,,,0.00,,,,,,,,,,,,
chc-lia-nonlin-0115.smt2,,,,5,3,1,,3,3,1,4,4,,,11,,6,2,9,33,,21,,,15,19,1,,,15,1,1,2,,29.00,13.80,sat,0.11,0.04,0.02,,0.00,0.00,0.00,0.00,0.08,0.01,,0.06,0.00,0.01,0.02,0.01,0.00,0.00
chc-lia-nonlin-0116.smt2,3,,,,,,,,,,3,3,,,5,,2,,1,9,,8,,,5,3,3,,,7,1,,,,30.28,8.51,unsat,0.05,0.01,0.01,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0117.smt2,,13,,18,15,,,7,3,1,7,7,,6,12,,22,2,10,63,3,51,,,33,28,,,,43,,11,2,,31.32,15.07,sat,0.20,0.09,0.04,,0.00,0.00,0.00,0.01,0.18,0.02,,0.14,0.01,0.02,0.02,0.02,0.00,0.01
chc-lia-nonlin-0118.smt2,26,224,,145,41,79,,,16,1,26,26,,257,125,,184,173,1,1944,4,325,,,124,1067,44,,2,276,21,154,173,20,218.12,131.47,unsat,3.84,2.69,1.55,,0.10,0.00,0.00,0.05,3.74,1.51,,2.12,0.16,0.17,0.41,0.25,0.00,0.20
chc-lia-nonlin-0119.smt2,,11,,20,15,2,,6,3,1,7,7,,6,14,,24,2,10,64,,53,,,35,27,,,,43,,11,2,,32.04,15.29,sat,0.21,0.09,0.05,,0.00,0.00,0.00,0.01,0.19,0.02,,0.15,0.01,0.02,0.03,0.02,0.00,0.01
chc-lia-nonlin-0120.smt2,,13,,18,15,,,7,3,1,7,7,,6,12,,21,2,10,63,3,51,,,33,28,,,,43,,11,2,,31.32,15.07,sat,0.26,0.11,0.05,,0.00,0.00,0.00,0.01,0.23,0.02,,0.17,0.02,0.02,0.03,0.02,0.00,0.01
